"ext","count","totalBytes"
".example","1","619"
".eslintignore","30","531"
".json","7197","65814852"
".gitignore","2","1170"
".prettierignore","4","392"
".prettierrc","6","760"
".js","70620","632302676"
".md","7291","37255468"
".backup","2","16829"
".apk","2","286643798"
".ps1","296","284592"
".mjs","2159","15694927"
".txt","530","32562446"
".rules","8","10973"
".bat","17","37807"
".csv","4","13356"
".png","939","4682582"
".mp3","9","1260"
"","4607","70421622"
".cmd","288","93414"
".sh","111","213837"
".map","22924","477270735"
".cjs","465","5068513"
".ts","49772","154249410"
".flow","2536","15581766"
".npmignore","173","36935"
".babelrc","16","1763"
".bowerrc","3","78"
".editorconfig","200","54044"
".jscsrc","3","627"
".jshintrc","48","18631"
".yml","653","355086"
".html","228","1310325"
".css","35","78939"
".bnf","51","31569"
".mts","384","582116"
".conf","12","9546"
".gradle","142","480109"
".ttf","152","31495864"
".tpl","10","4160"
".proto","455","2963141"
".cts","361","1016082"
".markdown","44","198742"
".avif","276","886446"
".svg","1183","1076908"
".ico","6","149028"
".eslintrc","452","117097"
".kts","29","159044"
".toml","6","13887"
".jar","16","29990033"
".properties","59","22275"
".kt","1803","5080068"
".podspec","258","560265"
".java","2744","12463934"
".xml","746","653983"
".xcprivacy","19","13463"
".h","4237","8423226"
".mm","967","6705670"
".pbxproj","33","697392"
".xcscheme","14","38539"
".sln","21","315428"
".cpp","1561","8237820"
".def","28","68163"
".idl","14","11956"
".config","12","2313"
".props","12","6906"
".vcxproj","11","114887"
".filters","11","26191"
".wav","6","559800"
".rb","88","458967"
".command","3","972"
".m","583","3192978"
".tsx","955","3050102"
".lock","38","1778440"
".nycrc","369","61545"
".tsbuildinfo","9","617264"
".1","6","17328"
".snap","3","16110"
".applescript","3","8073"
".bplist","45","207882"
".mkd","9","9450"
".clang-format","4","3047"
".iml","7","2924"
".eslintcache","3","1146"
".yaml","3","378"
".BSD","19","24751"
".pro","29","25655"
".swift","789","2438612"
".md5","36","1152"
".sha1","36","1440"
".aar","12","97572294"
".pom","12","7191"
".wasm","8","307428"
".DS_Store","3","18444"
".nvmrc","4","20"
".gitattributes","24","1473"
".node-version","3","30"
".hbs","3","7056"
".node","4","25598464"
".nix","4","1836"
".jsbeautifyrc","3","1461"
".xyz","3","39"
".file","6","0"
".md~","3","0"
".swf","4","84648"
".coffee","34","451784"
".list","6","2016"
".jsdoc","4","1100"
".APACHE2","3","1758"
".MIT","3","3264"
".xcconfig","3","1506"
".clang-format-ignore","3","108"
".bin","131","810626"
".strings","111","7104"
".S","48","172113"
".api","3","1403931"
".cmake","9","30429"
".clang-tidy","90","31950"
".in","3","843"
".modulemap","3","1533"
".template","6","3213"
".hermesversion","3","207"
".exe","5","96899072"
".dll","29","117435088"
".keystore","5","11720"
".env","3","1446"
".plist","17","10052"
".storyboard","4","33642"
".xcworkspacedata","8","1118"
".xcuserstate","5","91300"
".xccheckout","2","3080"
".Dockerfile","3","2955"
".gitkeep","19","0"
".py","5","7879"
".mailmap","3","174"
".info","5","29653"
".opam","3","3"
".ml","6","1020"
".re","54","181140"
".merlin","3","1797"
".pegjs","3","17907"
".uusver","1","16"
".sample","2","1511"
".probe","3","24"
".class","164","459771"
".aab","1","45748278"
".apks","1","94506453"
".zip","1","94506453"
".pb","1","88"
".jst","100","199260"
".closure-compiler","3","34074"
".esprima","3","3693"
".LICENSE","1","35147"
".README","1","38167"
".php","2","9226"
".tmpl","16","22511"
".gyp","1","9864"
".cc","7","164561"
".c","2","307934"
".kotlin_module","2","180"
".tab","26","122887"
".keystream","24","266240"
".len","72","576"
".at","24","81526"
".tab_i","23","753664"
".MF","2","50"
".project","1","433"
".prefs","1","317"
".gz","1","29122"
".DOCS","1","19466"
".njs","1","3919"
".mdown","2","4087"
".bundle","5","23197561"
".otf","18","4791080"
".jsbundle","1","1796673"
".huskyrc","1","53"
".lintstagedrc","1","72"
".log","1","0"
".peg","3","11013"
".rc","2","2418"
".watchmanconfig","1","3"
".flowconfig","1","188"
".prototools","1","12"
".gif","1","1596137"
".cs","4","9542"
".csproj","1","8677"
".ejs","1","2477"
