"path","bytes"
"C:\Users\Alex\369369369\blyp-dev-client.apk","192137645"
"C:\Users\Alex\369369369\dist\blyp.universal.apks","94506453"
"C:\Users\Alex\369369369\dist\blyp.universal.zip","94506453"
"C:\Users\Alex\369369369\dist\universal\universal.apk","94506153"
"C:\Users\Alex\369369369\functions\node_modules\ffmpeg-static\ffmpeg.exe","81114624"
"C:\Users\Alex\369369369\dist\blyp-production.aab","45748278"
"C:\Users\Alex\369369369\dist\bundletool.jar","29105379"
"C:\Users\Alex\369369369\backup\369369369\node_modules\react-native\sdks\hermesc\win64-bin\icudt64.dll","27534336"
"C:\Users\Alex\369369369\#1\node_modules\react-native\sdks\hermesc\win64-bin\icudt64.dll","27534336"
"C:\Users\Alex\369369369\node_modules\react-native\sdks\hermesc\win64-bin\icudt64.dll","27534336"
"C:\Users\Alex\369369369\_reports\bundles\android\_expo\_expo\static\js\android\AppEntry-e8743817f49f3bc0bb3f9cae3630accc.js.map","25868965"
"C:\Users\Alex\369369369\_reports\bundles\ios\_expo\_expo\static\js\ios\AppEntry-62ff2969a2974b81a4de962917eab8bc.js.map","25832952"
"C:\Users\Alex\369369369\#1\node_modules\jsc-android\dist\org\webkit\android-jsc-intl\r250231\android-jsc-intl-r250231.aar","23145219"
"C:\Users\Alex\369369369\backup\369369369\node_modules\jsc-android\dist\org\webkit\android-jsc-intl\r250231\android-jsc-intl-r250231.aar","23145219"
"C:\Users\Alex\369369369\node_modules\jsc-android\dist\org\webkit\android-jsc-intl\r250231\android-jsc-intl-r250231.aar","23145219"
"C:\Users\Alex\369369369\_reports\prod_audit_v2\tmp\index.android.map","20915478"
"C:\Users\Alex\369369369\_reports\prod_audit_v2\tmp\index.ios.map","20883427"
"C:\Users\Alex\369369369\_reports\bundles\index.android.map","18976968"
"C:\Users\Alex\369369369\functions\node_modules\@img\sharp-win32-x64\lib\libvips-42.dll","18956288"
"C:\Users\Alex\369369369\_reports\bundles\android\_expo\_expo\static\js\android\AppEntry-e8743817f49f3bc0bb3f9cae3630accc.js","16057499"
"C:\Users\Alex\369369369\_reports\bundles\ios\_expo\_expo\static\js\ios\AppEntry-62ff2969a2974b81a4de962917eab8bc.js","16028197"
"C:\Users\Alex\369369369\_reports\current_audit\inventory\tree.txt","15713341"
"C:\Users\Alex\369369369\functions\node_modules\typescript\lib\tsserver.js","11676702"
"C:\Users\Alex\369369369\functions\node_modules\typescript\lib\tsserverlibrary.js","11615475"
"C:\Users\Alex\369369369\functions\node_modules\typescript\lib\typescriptServices.js","10945736"
"C:\Users\Alex\369369369\functions\node_modules\typescript\lib\typescript.js","10945729"
"C:\Users\Alex\369369369\node_modules\@sentry\cli\sentry-cli.exe","10634240"
"C:\Users\Alex\369369369\node_modules\react-native\sdks\hermesc\osx-bin\hermes","10072003"
"C:\Users\Alex\369369369\backup\369369369\node_modules\react-native\sdks\hermesc\osx-bin\hermes","10072003"
"C:\Users\Alex\369369369\#1\node_modules\react-native\sdks\hermesc\osx-bin\hermes","10072003"
"C:\Users\Alex\369369369\file-tree.txt","9570954"
"C:\Users\Alex\369369369\#1\node_modules\jsc-android\dist\org\webkit\android-jsc\r250231\android-jsc-r250231.aar","9302080"
"C:\Users\Alex\369369369\backup\369369369\node_modules\jsc-android\dist\org\webkit\android-jsc\r250231\android-jsc-r250231.aar","9302080"
"C:\Users\Alex\369369369\node_modules\jsc-android\dist\org\webkit\android-jsc\r250231\android-jsc-r250231.aar","9302080"
"C:\Users\Alex\369369369\backup\369369369\node_modules\typescript\lib\typescript.js","9020119"
"C:\Users\Alex\369369369\#1\node_modules\typescript\lib\typescript.js","9020119"
"C:\Users\Alex\369369369\node_modules\typescript\lib\typescript.js","9020119"
"C:\Users\Alex\369369369\backup\369369369\node_modules\typescript\lib\tsserver.js","8530566"
"C:\Users\Alex\369369369\#1\node_modules\typescript\lib\tsserver.js","8530566"
"C:\Users\Alex\369369369\node_modules\typescript\lib\tsserver.js","8530566"
"C:\Users\Alex\369369369\backup\369369369\node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node","8392192"
"C:\Users\Alex\369369369\node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node","8392192"
"C:\Users\Alex\369369369\#1\node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node","8392192"
"C:\Users\Alex\369369369\functions\node_modules\typescript\lib\typingsInstaller.js","8148122"
"C:\Users\Alex\369369369\_reports\prod_audit_v2\tmp\index.android.bundle","6959129"
"C:\Users\Alex\369369369\_reports\prod_audit_v2\tmp\index.ios.bundle","6948803"
"C:\Users\Alex\369369369\functions\node_modules\typescript\lib\tsc.js","6157210"
"C:\Users\Alex\369369369\backup\369369369\node_modules\react-native\sdks\hermesc\osx-bin\hermesc","5852804"
"C:\Users\Alex\369369369\node_modules\react-native\sdks\hermesc\osx-bin\hermesc","5852804"
"C:\Users\Alex\369369369\#1\node_modules\react-native\sdks\hermesc\osx-bin\hermesc","5852804"
