ext,count,total_bytes
.apk,2,286643798
.map,6,112497896
.zip,1,94506453
.apks,1,94506453
.aab,1,45748278
.js,523,35755442
<none>,5249,30987303
.jar,2,29148832
.txt,57,29109486
.bundle,3,19565442
.ttf,38,7967204
.json,113,3951897
.png,57,3469127
.err,14,659422
.md,106,574657
.bin,7,181891
.class,78,149103
.java,4,135948
.lock,5,104024
.ps1,11,52137
.ts,17,40101
.sample,16,27338
.sh,1,22776
.csv,6,22012
.html,6,20368
.backup,2,16829
.gradle,3,13456
.tsx,8,13287
.rules,8,9996
.xml,11,9557
.log,1,9320
.css,2,6070
.keystore,2,4949
.kt,3,4425
.bat,2,3296
.properties,6,2683
.mjs,1,2370
.yml,2,1534
.mp3,9,1260
.gitignore,2,1170
.info,1,762
.example,1,619
.pro,1,562
.kts,1,373
.prettierrc,2,314
.prettierignore,1,311
.editorconfig,1,286
.eslintrc,1,132
.pb,1,88
.eslintignore,1,57
.uusver,1,16
.probe,1,8
