path,size_bytes
blyp-dev-client.apk,192137645
dist\blyp.universal.zip,94506453
dist\blyp.universal.apks,94506453
dist\universal\universal.apk,94506153
dist\blyp-production.aab,45748278
dist\bundletool.jar,29105379
_reports\bundles\android\_expo\_expo\static\js\android\AppEntry-e8743817f49f3bc0bb3f9cae3630accc.js.map,25868965
_reports\bundles\ios\_expo\_expo\static\js\ios\AppEntry-62ff2969a2974b81a4de962917eab8bc.js.map,25832952
_reports\prod_audit_v2\tmp\index.android.map,20915478
_reports\prod_audit_v2\tmp\index.ios.map,20883427
_reports\bundles\index.android.map,18976968
_reports\bundles\android\_expo\_expo\static\js\android\AppEntry-e8743817f49f3bc0bb3f9cae3630accc.js,16057499
_reports\bundles\ios\_expo\_expo\static\js\ios\AppEntry-62ff2969a2974b81a4de962917eab8bc.js,16028197
_reports\current_audit\inventory\tree.txt,15713341
file-tree.txt,9570954
_reports\prod_audit_v2\tmp\index.android.bundle,6959129
_reports\prod_audit_v2\tmp\index.ios.bundle,6948803
_reports\bundles\index.android.bundle,5657510
screenshot.png,3170792
_reports\current_audit\logs\npm_tree.txt,1645034
_reports\current_audit\findings\env_keys.txt,1525332
_reports\prod_audit_v2\tmp\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_materialcommunityicons.ttf,1307660
_reports\bundles\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_materialcommunityicons.ttf,1147844
_reports\bundles\ios\assets\b62641afc9ab487008e996a5c5865e56,1147844
_reports\prod_audit_v2\inventory\tree.json,937912
package-lock.json,852968
.git\objects\d2\c3a2bc04ed751b6d5abbdeeff34baff7372d0c,731921
.git\objects\2e\494f7b9e8b2b83d4bc3193876202c0bac8d655,731886
.git\objects\11\ad993520492138f9a19936e7b167fbdcd5605a,664687
.git\objects\76\d770cced85f9c0a0c6d3a0417097a81cf9fead,651929
.git\objects\ab\19beb3ba5163441fa0eb5f3f030913ef31e057,651580
.git\objects\66\8d6b0182d0b838b31bc7335816d50eefb7ca05,648136
_reports\current_audit\logs\prettier.err,641722
.git\objects\ba\873595714be0aed5b3f40c3f409125d58b741e,581562
backup\369369369\package-lock.json,580160
#1\package-lock.json,580160
.git\objects\61\9c403e9c4285d20a0948a7335c546cc7710261,461521
_reports\bundles\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_ionicons.ttf,442604
_reports\bundles\ios\assets\6148e7019854f3bde85b633cb88f3c25,442604
_reports\bundles\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_fontawesome6_solid.ttf,423676
_reports\prod_audit_v2\tmp\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_fontawesome6_solid.ttf,423676
_reports\bundles\ios\assets\adec7d6f310bc577f05e8fe06a5daccf,423676
.git\objects\e7\8761379433cd2932355ce8d7e84e6bc2d417c9,416194
_reports\prod_audit_v2\tmp\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_ionicons.ttf,389724
_reports\current_state\inventory\tree.txt,382225
_reports\prod_audit_v2\tmp\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_materialicons.ttf,356840
_reports\bundles\ios\assets\4e85bc9ebe07e0340c9c4fc2f6c38908,356840
_reports\bundles\assets\raw\node_modules_expo_vectoricons_build_vendor_reactnativevectoricons_fonts_materialicons.ttf,356840
.git\objects\9f\b7b59a52570832fc5628a650657e41ba5b10f2,331337
.git\objects\d7\94d5d43057165e406a9784199804be7cbdf64f,330746
