"file","key","present","line"
".env","EXPO_PUBLIC_AMPLIFY_IDENTITY_POOL_ID","False",
".env.development","EXPO_PUBLIC_AMPLIFY_IDENTITY_POOL_ID","False",
".env.local","EXPO_PUBLIC_AMPLIFY_IDENTITY_POOL_ID","False",
".env.production","EXPO_PUBLIC_AMPLIFY_IDENTITY_POOL_ID","False",
".env.staging","EXPO_PUBLIC_AMPLIFY_IDENTITY_POOL_ID","False",
".env","EXPO_PUBLIC_AMPLIFY_REGION","False",
".env.development","EXPO_PUBLIC_AMPLIFY_REGION","False",
".env.local","EXPO_PUBLIC_AMPLIFY_REGION","False",
".env.production","EXPO_PUBLIC_AMPLIFY_REGION","False",
".env.staging","EXPO_PUBLIC_AMPLIFY_REGION","False",
".env","EXPO_PUBLIC_AMPLIFY_USER_POOL_ID","False",
".env.development","EXPO_PUBLIC_AMPLIFY_USER_POOL_ID","False",
".env.local","EXPO_PUBLIC_AMPLIFY_USER_POOL_ID","False",
".env.production","EXPO_PUBLIC_AMPLIFY_USER_POOL_ID","False",
".env.staging","EXPO_PUBLIC_AMPLIFY_USER_POOL_ID","False",
".env","EXPO_PUBLIC_AMPLIFY_USER_POOL_WEB_CLIENT_ID","False",
".env.development","EXPO_PUBLIC_AMPLIFY_USER_POOL_WEB_CLIENT_ID","False",
".env.local","EXPO_PUBLIC_AMPLIFY_USER_POOL_WEB_CLIENT_ID","False",
".env.production","EXPO_PUBLIC_AMPLIFY_USER_POOL_WEB_CLIENT_ID","False",
".env.staging","EXPO_PUBLIC_AMPLIFY_USER_POOL_WEB_CLIENT_ID","False",
".env","EXPO_PUBLIC_API_BASE_URL","True","16"
".env.development","EXPO_PUBLIC_API_BASE_URL","True","2"
".env.local","EXPO_PUBLIC_API_BASE_URL","False",
".env.production","EXPO_PUBLIC_API_BASE_URL","False",
".env.staging","EXPO_PUBLIC_API_BASE_URL","False",
".env","EXPO_PUBLIC_AUTH_DEBUG","False",
".env.development","EXPO_PUBLIC_AUTH_DEBUG","False",
".env.local","EXPO_PUBLIC_AUTH_DEBUG","False",
".env.production","EXPO_PUBLIC_AUTH_DEBUG","False",
".env.staging","EXPO_PUBLIC_AUTH_DEBUG","False",
".env","EXPO_PUBLIC_AUTH_PROVIDER","False",
".env.development","EXPO_PUBLIC_AUTH_PROVIDER","False",
".env.local","EXPO_PUBLIC_AUTH_PROVIDER","False",
".env.production","EXPO_PUBLIC_AUTH_PROVIDER","False",
".env.staging","EXPO_PUBLIC_AUTH_PROVIDER","False",
".env","EXPO_PUBLIC_AWS_COGNITO_REGION","True","10"
".env.development","EXPO_PUBLIC_AWS_COGNITO_REGION","False",
".env.local","EXPO_PUBLIC_AWS_COGNITO_REGION","False",
".env.production","EXPO_PUBLIC_AWS_COGNITO_REGION","False",
".env.staging","EXPO_PUBLIC_AWS_COGNITO_REGION","False",
".env","EXPO_PUBLIC_AWS_IDENTITY_POOL_ID","False",
".env.development","EXPO_PUBLIC_AWS_IDENTITY_POOL_ID","False",
".env.local","EXPO_PUBLIC_AWS_IDENTITY_POOL_ID","False",
".env.production","EXPO_PUBLIC_AWS_IDENTITY_POOL_ID","False",
".env.staging","EXPO_PUBLIC_AWS_IDENTITY_POOL_ID","False",
".env","EXPO_PUBLIC_AWS_REGION","True","9"
".env.development","EXPO_PUBLIC_AWS_REGION","False",
".env.local","EXPO_PUBLIC_AWS_REGION","False",
".env.production","EXPO_PUBLIC_AWS_REGION","False",
".env.staging","EXPO_PUBLIC_AWS_REGION","False",
".env","EXPO_PUBLIC_AWS_USER_POOL","False",
".env.development","EXPO_PUBLIC_AWS_USER_POOL","False",
".env.local","EXPO_PUBLIC_AWS_USER_POOL","False",
".env.production","EXPO_PUBLIC_AWS_USER_POOL","False",
".env.staging","EXPO_PUBLIC_AWS_USER_POOL","False",
".env","EXPO_PUBLIC_AWS_USER_POOL_ID","True","11"
".env.development","EXPO_PUBLIC_AWS_USER_POOL_ID","False",
".env.local","EXPO_PUBLIC_AWS_USER_POOL_ID","False",
".env.production","EXPO_PUBLIC_AWS_USER_POOL_ID","False",
".env.staging","EXPO_PUBLIC_AWS_USER_POOL_ID","False",
".env","EXPO_PUBLIC_AWS_USER_POOL_WEB_CLIENT_ID","True","12"
".env.development","EXPO_PUBLIC_AWS_USER_POOL_WEB_CLIENT_ID","False",
".env.local","EXPO_PUBLIC_AWS_USER_POOL_WEB_CLIENT_ID","False",
".env.production","EXPO_PUBLIC_AWS_USER_POOL_WEB_CLIENT_ID","False",
".env.staging","EXPO_PUBLIC_AWS_USER_POOL_WEB_CLIENT_ID","False",
".env","EXPO_PUBLIC_BILLING_VERIFY_URL","False",
".env.development","EXPO_PUBLIC_BILLING_VERIFY_URL","False",
".env.local","EXPO_PUBLIC_BILLING_VERIFY_URL","False",
".env.production","EXPO_PUBLIC_BILLING_VERIFY_URL","False",
".env.staging","EXPO_PUBLIC_BILLING_VERIFY_URL","False",
".env","EXPO_PUBLIC_CANONICAL_AUTH_PROVIDER","False",
".env.development","EXPO_PUBLIC_CANONICAL_AUTH_PROVIDER","False",
".env.local","EXPO_PUBLIC_CANONICAL_AUTH_PROVIDER","False",
".env.production","EXPO_PUBLIC_CANONICAL_AUTH_PROVIDER","False",
".env.staging","EXPO_PUBLIC_CANONICAL_AUTH_PROVIDER","False",
".env","EXPO_PUBLIC_DEV_FORCE_NO_AUTH","False",
".env.development","EXPO_PUBLIC_DEV_FORCE_NO_AUTH","False",
".env.local","EXPO_PUBLIC_DEV_FORCE_NO_AUTH","False",
".env.production","EXPO_PUBLIC_DEV_FORCE_NO_AUTH","False",
".env.staging","EXPO_PUBLIC_DEV_FORCE_NO_AUTH","False",
".env","EXPO_PUBLIC_DEV_MODE","False",
".env.development","EXPO_PUBLIC_DEV_MODE","False",
".env.local","EXPO_PUBLIC_DEV_MODE","False",
".env.production","EXPO_PUBLIC_DEV_MODE","False",
".env.staging","EXPO_PUBLIC_DEV_MODE","False",
".env","EXPO_PUBLIC_DISABLE_FIREBASE","False",
".env.development","EXPO_PUBLIC_DISABLE_FIREBASE","False",
".env.local","EXPO_PUBLIC_DISABLE_FIREBASE","False",
".env.production","EXPO_PUBLIC_DISABLE_FIREBASE","False",
".env.staging","EXPO_PUBLIC_DISABLE_FIREBASE","False",
".env","EXPO_PUBLIC_DISABLE_LEGACY_SEGMENT_MAP","False",
".env.development","EXPO_PUBLIC_DISABLE_LEGACY_SEGMENT_MAP","False",
".env.local","EXPO_PUBLIC_DISABLE_LEGACY_SEGMENT_MAP","False",
".env.production","EXPO_PUBLIC_DISABLE_LEGACY_SEGMENT_MAP","False",
".env.staging","EXPO_PUBLIC_DISABLE_LEGACY_SEGMENT_MAP","False",
".env","EXPO_PUBLIC_DISABLE_PURCHASES","False",
